Sample_Name,NODE_ID,family.supergroup,Country,Site,Collection_MY,Collection_Y,Season,Mosq_Species_Name,Mapped_Reads,Total_Reads_in_Lib,Non_rRNA_Reads,RPM,Virus_name_fin_cut,Virus_name_final
H2LTKAFX2_Bangui-Batalimo-Oct-2019-Aedes-aegypti-3_S10,NODE_24_length_6087_cov_142.314100,Inseviridae,Central African Republic,Batalimo,Oct-19,2019,Rainy,Aedes aegypti,40737,5679017,5210994,7817.51,Batalimo inse-like virus 2 ,Batalimo inse-like virus 2  isolate CAR85
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-1_S55,NODE_373_length_1919_cov_15180.633803,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,380885,6548920,6130009,62134.49,Batalimo inse-like virus 2 ,Batalimo inse-like virus 2  isolate CAR1143
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-2_S56,NODE_129_length_1935_cov_20843.932868,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,531212,5312769,5102290,104112.47,Batalimo inse-like virus 2 ,Batalimo inse-like virus 2  isolate CAR1148
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-1_S55,NODE_17_length_6204_cov_8544.095254,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,715708,6548920,6130009,116754.8,Batalimo inse-like virus 3 ,Batalimo inse-like virus 3  isolate CAR1144
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-2_S56,NODE_9_length_6201_cov_15032.688969,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,1252710,5312769,5102290,245519.17,Batalimo inse-like virus 3 ,Batalimo inse-like virus 3  isolate CAR1149
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-3_S57,NODE_12_length_6187_cov_5092.628230,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,432457,5852245,5455230,79273.83,Batalimo inse-like virus 3 ,Batalimo inse-like virus 3  isolate CAR1151
H2LTKAFX2_Bangui-Batalimo-Oct-2019-Aedes-aegypti-1_S8,NODE_630_length_1929_cov_4.122306,Metaviridae,Central African Republic,Batalimo,Oct-19,2019,Rainy,Aedes aegypti,141,6374853,3824979,36.86,Batalimo meta-like virus 1 ,Batalimo meta-like virus 1  isolate CAR78
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-1_S55,NODE_1031_length_1368_cov_9.255598,Metaviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,190,6548920,6130009,31,Batalimo meta-like virus 1 ,Batalimo meta-like virus 1  isolate CAR1145
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-3_S57,NODE_175_length_2473_cov_4.481667,Metaviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,193,5852245,5455230,35.38,Batalimo meta-like virus 1 ,Batalimo meta-like virus 1  isolate CAR1152
H2LTKAFX2_Bangui-Batalimo-Oct-2019-Aedes-aegypti-1_S8,NODE_848_length_1695_cov_2.733662,Metaviridae,Central African Republic,Batalimo,Oct-19,2019,Rainy,Aedes aegypti,209,6374853,3824979,54.64,Batalimo meta-like virus 2 ,Batalimo meta-like virus 2  isolate CAR79
H2LTKAFX2_Bangui-Batalimo-Oct-2019-Aedes-aegypti-3_S10,NODE_95_length_3884_cov_3.168197,Metaviridae,Central African Republic,Batalimo,Oct-19,2019,Rainy,Aedes aegypti,555,5679017,5210994,106.51,Batalimo meta-like virus 2 ,Batalimo meta-like virus 2  isolate CAR86
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-1_S55,NODE_610_length_1647_cov_2.923126,Metaviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,170,6548920,6130009,27.73,Batalimo meta-like virus 2 ,Batalimo meta-like virus 2  isolate CAR1146
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-3_S57,NODE_1850_length_1017_cov_2.113347,Metaviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,247,5852245,5455230,45.28,Batalimo meta-like virus 2 ,Batalimo meta-like virus 2  isolate CAR1153
H2KK5AFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-2_S1,NODE_873_length_1519_cov_3.127939,Deltaflexiviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,80,3245738,3128320,25.57,Bouar deltaflexi-like virus 1 ,Bouar deltaflexi-like virus 1  isolate CAR56
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-1_S17,NODE_231_length_1970_cov_1.826041,Deltaflexiviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,71,2801849,2651086,26.78,Bouar deltaflexi-like virus 1 ,Bouar deltaflexi-like virus 1  isolate CAR1484
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-4_S20,NODE_2304_length_1335_cov_4.406498,Deltaflexiviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,105,12725812,12447786,8.44,Bouar deltaflexi-like virus 1 ,Bouar deltaflexi-like virus 1  isolate CAR1498
H2KK5AFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-2_S1,NODE_46_length_4285_cov_56.332384,Inseviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,3553,3245738,3128320,1135.75,Bouar inse-like virus 1 ,Bouar inse-like virus 1  isolate CAR57
H2KK5AFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-3_S2,NODE_10_length_6017_cov_125.308378,Inseviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,11758,3632521,3586141,3278.73,Bouar inse-like virus 1 ,Bouar inse-like virus 1  isolate CAR64
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-1_S17,NODE_11_length_6177_cov_3292.729194,Inseviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,281619,2801849,2651086,106227.79,Bouar inse-like virus 1 ,Bouar inse-like virus 1  isolate CAR1485
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-4_S20,NODE_30_length_6138_cov_12396.687552,Inseviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,1066315,12725812,12447786,85663.02,Bouar inse-like virus 1 ,Bouar inse-like virus 1  isolate CAR1500
H2KK5AFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-2_S1,NODE_47_length_4285_cov_39.210826,Inseviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,2538,3245738,3128320,811.3,Bouar inse-like virus 2 ,Bouar inse-like virus 2  isolate CAR58
H2KK5AFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-3_S2,NODE_68_length_3141_cov_28.814211,Inseviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,1366,3632521,3586141,380.91,Bouar inse-like virus 2 ,Bouar inse-like virus 2  isolate CAR65
H2LTKAFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-1_S24,NODE_21_length_6097_cov_119.293659,Inseviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,13695,5648376,5421223,2526.18,Bouar inse-like virus 2 ,Bouar inse-like virus 2  isolate CAR110
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-3_S19,NODE_12_length_6145_cov_2135.125000,Inseviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,183945,4059718,3795028,48470,Bouar inse-like virus 2 ,Bouar inse-like virus 2  isolate CAR1493
H2LTKAFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-1_S24,NODE_3364_length_1091_cov_4.445972,Inseviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,588,5648376,5421223,108.46,Bouar inse-like virus 5 ,Bouar inse-like virus 5  isolate CAR112
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-1_S17,NODE_223_length_1980_cov_4098.803356,Inseviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,108481,2801849,2651086,40919.46,Bouar inse-like virus 5 ,Bouar inse-like virus 5  isolate CAR1486
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-2_S18,NODE_520_length_1338_cov_1.391304,Inseviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,38,2703924,2571819,14.78,Bouar inse-like virus 5 ,Bouar inse-like virus 5  isolate CAR1491
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-4_S20,NODE_1001_length_1921_cov_304.279762,Inseviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,8108,12725812,12447786,651.36,Bouar inse-like virus 5 ,Bouar inse-like virus 5  isolate CAR1501
H2KK5AFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-2_S1,NODE_1106_length_1396_cov_3.440665,Metaviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,86,3245738,3128320,27.49,Bouar meta-like virus 1 ,Bouar meta-like virus 1  isolate CAR60
H2LTKAFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-1_S24,NODE_1755_length_1439_cov_3.986823,Metaviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,119,5648376,5421223,21.95,Bouar meta-like virus 1 ,Bouar meta-like virus 1  isolate CAR113
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-5_S21,NODE_1656_length_1015_cov_3.887473,Metaviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,63,2822114,2738763,23,Bouar meta-like virus 1 ,Bouar meta-like virus 1  isolate CAR1508
H2KK5AFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-2_S1,NODE_1075_length_1411_cov_2.155456,Metaviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,100,3245738,3128320,31.96,Bouar meta-like virus 2 ,Bouar meta-like virus 2  isolate CAR61
H2KK5AFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-3_S2,NODE_98_length_2642_cov_3.372908,Metaviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,514,3632521,3586141,143.33,Bouar meta-like virus 2 ,Bouar meta-like virus 2  isolate CAR67
H2LTKAFX2_Bangui-Bouar-Nov-2019-Aedes-aegypti-1_S24,NODE_945_length_1820_cov_2.008586,Metaviridae,Central African Republic,Bouar,Nov-19,2019,Rainy,Aedes aegypti,73,5648376,5421223,13.47,Bouar meta-like virus 2 ,Bouar meta-like virus 2  isolate CAR114
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-4_S20,NODE_1746_length_1522_cov_3.954451,Metaviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,181,12725812,12447786,14.54,Bouar meta-like virus 2 ,Bouar meta-like virus 2  isolate CAR1502
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-5_S21,NODE_1354_length_1108_cov_1.800000,Metaviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,33,2822114,2738763,12.05,Bouar meta-like virus 2 ,Bouar meta-like virus 2  isolate CAR1509
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-1_S17,NODE_771_length_1301_cov_8.848534,Orthototiviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,183,2801849,2651086,69.03,Bouar orthototi-like virus 1 ,Bouar orthototi-like virus 1  isolate CAR1488
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-3_S19,NODE_7_length_7397_cov_39.380257,Orthototiviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,4173,4059718,3795028,1099.6,Bouar orthototi-like virus 1 ,Bouar orthototi-like virus 1  isolate CAR1494
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-5_S21,NODE_9_length_6280_cov_8.833092,Orthototiviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,961,2822114,2738763,350.89,Bouar orthototi-like virus 1 ,Bouar orthototi-like virus 1  isolate CAR1511
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-2_S18,NODE_34_length_4357_cov_3599.565359,Reovirales,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,210766,2703924,2571819,81952.11,Bouar reo-like virus 1 ,Bouar reo-like virus 1  isolate CAR1492
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-3_S19,NODE_29_length_4348_cov_3505.126082,Reovirales,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,204924,4059718,3795028,53998.02,Bouar reo-like virus 1 ,Bouar reo-like virus 1  isolate CAR1495
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-4_S20,NODE_93_length_4358_cov_13511.930455,Reovirales,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,780560,12725812,12447786,62706.73,Bouar reo-like virus 1 ,Bouar reo-like virus 1  isolate CAR1505
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-5_S21,NODE_37_length_4352_cov_2587.336294,Reovirales,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,151707,2822114,2738763,55392.53,Bouar reo-like virus 1 ,Bouar reo-like virus 1  isolate CAR1512
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-3_S19,NODE_2_length_12283_cov_46.521622,Rhabdoviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,8162,4059718,3795028,2150.71,Bouar rhabdo-like virus 1 ,Bouar rhabdo-like virus 1  isolate CAR1496
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-4_S20,NODE_9_length_12290_cov_309.663256,Rhabdoviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,54791,12725812,12447786,4401.67,Bouar rhabdo-like virus 1 ,Bouar rhabdo-like virus 1  isolate CAR1506
HVM35BGXH_Bangui-Bouar-Oct-Nov-2020-Rainy-Aedes-aegypti-5_S21,NODE_1_length_12291_cov_72.472827,Rhabdoviridae,Central African Republic,Bouar,Nov-20,2020,Rainy,Aedes aegypti,12795,2822114,2738763,4671.82,Bouar rhabdo-like virus 1 ,Bouar rhabdo-like virus 1  isolate CAR1513
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-5_S3,NODE_1212_length_1295_cov_1.690671,Deltaflexiviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,359,4819038,3913702,91.73,Cubel ,Cubel  isolate CAR344
HG3VVBGXF_Bangui-Gbozo-Rainy-Aedes-aegypti-2_S42,NODE_2306_length_1220_cov_2.631212,Deltaflexiviridae,Central African Republic,Gbozo,Aug-19,2019,Rainy,Aedes aegypti,55,6600581,6366453,8.64,Cubel ,Cubel  isolate CAR447
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-1_S1,NODE_2903_length_1162_cov_2.261708,Deltaflexiviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,59,5668241,5311668,11.11,Cubel ,Cubel  isolate CAR463
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-1_S1,NODE_64_length_6164_cov_4972.361681,Inseviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,544473,9548449,9141875,59558.13,Gbozo inse-like virus 1 ,Gbozo inse-like virus 1  isolate CAR310
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-2_S2,NODE_61_length_6227_cov_3932.008125,Inseviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,426540,10045059,9649023,44205.51,Gbozo inse-like virus 1 ,Gbozo inse-like virus 1  isolate CAR317
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-3_S3,NODE_93_length_6164_cov_3039.762436,Inseviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,427534,10701102,9949226,42971.58,Gbozo inse-like virus 1 ,Gbozo inse-like virus 1  isolate CAR324
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-1_S1,NODE_5965_length_1055_cov_2.315682,Metaviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,57,9548449,9141875,6.24,Gbozo meta-like virus 2 ,Gbozo meta-like virus 2  isolate CAR312
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-2_S2,NODE_6469_length_1010_cov_1.500534,Metaviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,34,10045059,9649023,3.52,Gbozo meta-like virus 2 ,Gbozo meta-like virus 2  isolate CAR318
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-3_S3,NODE_4286_length_1438_cov_3.912088,Metaviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,146,10701102,9949226,14.67,Gbozo meta-like virus 2 ,Gbozo meta-like virus 2  isolate CAR325
HG3VVBGXF_Bangui-Gbozo-Rainy-Aedes-aegypti-1_S41,NODE_2301_length_1109_cov_1.737452,Metaviridae,Central African Republic,Gbozo,Aug-19,2019,Rainy,Aedes aegypti,81,4228703,4063043,19.94,Gbozo meta-like virus 2 ,Gbozo meta-like virus 2  isolate CAR441
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-1_S1,NODE_805_length_2758_cov_2.545624,Metaviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,141,9548449,9141875,15.42,Gbozo meta-like virus 3 ,Gbozo meta-like virus 3  isolate CAR313
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-2_S2,NODE_1429_length_2206_cov_3.330052,Metaviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,188,10045059,9649023,19.48,Gbozo meta-like virus 3 ,Gbozo meta-like virus 3  isolate CAR319
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-3_S3,NODE_339_length_4312_cov_3.438783,Metaviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,278,10701102,9949226,27.94,Gbozo meta-like virus 3 ,Gbozo meta-like virus 3  isolate CAR326
HG3VVBGXF_Bangui-Gbozo-Rainy-Aedes-aegypti-1_S41,NODE_230_length_2611_cov_2.845548,Metaviridae,Central African Republic,Gbozo,Aug-19,2019,Rainy,Aedes aegypti,160,4228703,4063043,39.38,Gbozo meta-like virus 3 ,Gbozo meta-like virus 3  isolate CAR442
HG3VVBGXF_Bangui-Gbozo-Rainy-Aedes-aegypti-2_S42,NODE_14_length_6438_cov_3.898665,Metaviridae,Central African Republic,Gbozo,Aug-19,2019,Rainy,Aedes aegypti,589,6600581,6366453,92.52,Gbozo meta-like virus 3 ,Gbozo meta-like virus 3  isolate CAR451
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-2_S2,NODE_2666_length_1638_cov_5.766773,Metaviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,12024,10045059,9649023,1246.14,Gbozo meta-like virus 5 ,Gbozo meta-like virus 5  isolate CAR320
H7MTYAFXY_Bangui-Gbozo-Aedes-aegypti-3_S3,NODE_3505_length_1602_cov_4.565075,Metaviridae,Central African Republic,Gbozo,Apr-19,2019,Dry,Aedes aegypti,309,10701102,9949226,31.06,Gbozo meta-like virus 5 ,Gbozo meta-like virus 5  isolate CAR328
HG3VVBGXF_Bangui-Gbozo-Rainy-Aedes-aegypti-1_S41,NODE_2264_length_1118_cov_1.960766,Metaviridae,Central African Republic,Gbozo,Aug-19,2019,Rainy,Aedes aegypti,37,4228703,4063043,9.11,Gbozo meta-like virus 5 ,Gbozo meta-like virus 5  isolate CAR443
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-4_S2,NODE_12_length_6140_cov_627.425416,Inseviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,64116,4050785,3974038,16133.72,Mbaiki inse-like virus 1 ,Mbaiki inse-like virus 1  isolate CAR337
HG3VVBGXF_Bangui-Mbaiki-Rainy-Aedes-aegypti-1_S59,NODE_49_length_4398_cov_5404.834913,Inseviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,350889,10987064,8727287,40205.97,Mbaiki inse-like virus 1 ,Mbaiki inse-like virus 1  isolate CAR486
HG3VVBGXF_Bangui-Mbaiki-Rainy-Aedes-aegypti-2_S60,NODE_41_length_4278_cov_756.511534,Inseviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,422995,5965271,5739549,73698.3,Mbaiki inse-like virus 1 ,Mbaiki inse-like virus 1  isolate CAR493
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-3_S1,NODE_829_length_1634_cov_2.319667,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,109,6063114,5931828,18.38,Mbaiki meta-like virus 2 ,Mbaiki meta-like virus 2  isolate CAR332
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-1_S1,NODE_1915_length_1398_cov_4.531321,Metaviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,135,5668241,5311668,25.42,Mbaiki meta-like virus 2 ,Mbaiki meta-like virus 2  isolate CAR464
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-2_S2,NODE_3174_length_1085_cov_2.927866,Metaviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,306,6515984,5848535,52.32,Mbaiki meta-like virus 2 ,Mbaiki meta-like virus 2  isolate CAR473
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-3_S3,NODE_1576_length_1966_cov_4.083994,Metaviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,559,12265366,11501071,48.6,Mbaiki meta-like virus 2 ,Mbaiki meta-like virus 2  isolate CAR479
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-3_S1,NODE_7_length_6868_cov_3.357763,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,731,6063114,5931828,123.23,Mbaiki meta-like virus 3 ,Mbaiki meta-like virus 3  isolate CAR333
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-5_S3,NODE_324_length_2091_cov_2.110505,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,180,4819038,3913702,45.99,Mbaiki meta-like virus 3 ,Mbaiki meta-like virus 3  isolate CAR345
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-1_S1,NODE_984_length_1860_cov_1.264130,Metaviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,103,5668241,5311668,19.39,Mbaiki meta-like virus 3 ,Mbaiki meta-like virus 3  isolate CAR465
HG3VVBGXF_Bangui-Mbaiki-Rainy-Aedes-aegypti-2_S60,NODE_942_length_1025_cov_2.281513,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,54,5965271,5739549,9.41,Mbaiki meta-like virus 3 ,Mbaiki meta-like virus 3  isolate CAR498
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-3_S1,NODE_6_length_7062_cov_8.044498,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,1175,6063114,5931828,198.08,Mbaiki meta-like virus 4 ,Mbaiki meta-like virus 4  isolate CAR334
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-4_S2,NODE_4_length_7062_cov_4.586064,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,701,4050785,3974038,176.39,Mbaiki meta-like virus 4 ,Mbaiki meta-like virus 4  isolate CAR338
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-5_S3,NODE_126_length_2818_cov_2.390528,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,133,4819038,3913702,33.98,Mbaiki meta-like virus 4 ,Mbaiki meta-like virus 4  isolate CAR346
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-1_S1,NODE_267_length_3019_cov_2.889681,Metaviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,404,5668241,5311668,76.06,Mbaiki meta-like virus 4 ,Mbaiki meta-like virus 4  isolate CAR466
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-2_S2,NODE_505_length_2268_cov_2.960820,Metaviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,248,6515984,5848535,42.4,Mbaiki meta-like virus 4 ,Mbaiki meta-like virus 4  isolate CAR474
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-3_S3,NODE_21_length_7312_cov_8.608786,Metaviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,2954,12265366,11501071,256.85,Mbaiki meta-like virus 4 ,Mbaiki meta-like virus 4  isolate CAR480
HG3VVBGXF_Bangui-Mbaiki-Rainy-Aedes-aegypti-1_S59,NODE_5_length_7107_cov_6.263861,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,8828,10987064,8727287,1011.54,Mbaiki meta-like virus 4 ,Mbaiki meta-like virus 4  isolate CAR490
HG3VVBGXF_Bangui-Mbaiki-Rainy-Aedes-aegypti-2_S60,NODE_373_length_1447_cov_2.442504,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,976,5965271,5739549,170.05,Mbaiki meta-like virus 4 ,Mbaiki meta-like virus 4  isolate CAR499
HCY5WAFX2_Bangui-Mbaiki-Rainy-Aedes-aegypti-4_S2,NODE_980_length_1202_cov_2.395926,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,53,4050785,3974038,13.34,Mbaiki meta-like virus 6 ,Mbaiki meta-like virus 6  isolate CAR340
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-1_S1,NODE_3097_length_1121_cov_3.089695,Metaviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,62,5668241,5311668,11.67,Mbaiki meta-like virus 6 ,Mbaiki meta-like virus 6  isolate CAR467
HG3VVBGXF_Bangui-Mbaiki-Rainy-Aedes-aegypti-2_S60,NODE_610_length_1216_cov_2.994751,Metaviridae,Central African Republic,Mbaiki,Oct-19,2019,Rainy,Aedes aegypti,67,5965271,5739549,11.67,Mbaiki meta-like virus 6 ,Mbaiki meta-like virus 6  isolate CAR500
HG3VVBGXF_Bangui-Mbaiki-Dry-Aedes-aegypti-1_S1,NODE_3_length_12302_cov_2388.637746,Rhabdoviridae,Central African Republic,Mbaiki,Jan-19,2019,Dry,Aedes aegypti,445550,5668241,5311668,83881.37,Mbaiki rhabdo-like virus 1 ,Mbaiki rhabdo-like virus 1  isolate CAR469
